title,price_gbp,rating
Shadows in River,19.81,5
Beneath the Coast,38.11,4
The Last the City,10.58,5
A Quiet River,45.54,4
Echoes of Kingdom,28.92,4
Return to River,17.04,5
Into the Ocean,47.44,5
Fragments of the City,35.56,5
A Quiet River,38.53,5
The Last Night,55.49,5
Shadows in Coast,42.66,4
Whispers of Ocean,30.67,5
Beneath the Coast,15.9,4
A Quiet Kingdom,57.35,4
Echoes of Mountains,21.55,5
Shadows in Kingdom,28.77,4
Fragments of Library,29.0,4
The Lost Garden,10.2,4
The Forgotten Valley,14.52,5
