title,price_gbp,rating
Into the Valley,20.31,1
Beneath the Mountains,20.58,2
Echoes of Mountains,21.55,5
The Forgotten Winter,23.9,2
A Journey Night,24.81,2
The Hidden Coast,24.97,2
Whispers of Mountains,26.32,1
Return to Coast,27.07,1
Shadows in Kingdom,28.77,4
Echoes of Kingdom,28.92,4
Beneath the Winter,28.95,1
Fragments of Library,29.0,4
Shadows in Ocean,29.23,2
Whispers of Coast,29.28,3
Into the Coast,30.24,1
A Book With Bad Price,30.455,3
Whispers of Ocean,30.67,5
Into the Winter,30.83,3
Letters from River,31.47,3
Fragments of Garden,32.67,2
A Quiet Winter,34.78,2
The Forgotten Garden,34.88,2
Letters from Garden,35.21,3
The Silent Village,35.35,1
Fragments of the City,35.56,5
The Silent Ocean,37.14,2
Beneath the Night,37.18,2
Beneath the Coast,38.11,4
A Quiet River,38.53,5
The Hidden Garden,39.23,1
The Last the City,39.43,2
